UrlImg;Nombre;Codigo;SS;Descripcion;;;
https://drive.google.com/uc?id=1lF59rpVkbHt3JXVRax49wWKBeyMOrmzh;Adaptador (P.R.N. Adapter);150125681;Medico Quirurgico;Adaptador (P.R.N. Adapter);UNIDAD;;https://drive.google.com/file/d/1lF59rpVkbHt3JXVRax49wWKBeyMOrmzh/view?usp=sharing
https://drive.google.com/uc?id=12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam;Aguja Desechable No. 18 x 1 1/2;150220281;Medico Quirurgico;Aguja Desechable No. 18 X 1 1/2;UNIDAD;PRECISION;https://drive.google.com/file/d/12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam/view?usp=sharing
https://drive.google.com/uc?id=1_fp27JvkQksvUEKyjUclpBWgSp4NvD10;Aguja Desechable No. 18 x 1 1/2 Marca Nipro;150220406;Medico Quirurgico;Aguja Desechable No. 18 X 1 1/2;UNIDAD;NIPRO;https://drive.google.com/file/d/1_fp27JvkQksvUEKyjUclpBWgSp4NvD10/view?usp=sharing
https://drive.google.com/uc?id=1TU7JxohxNvhaJ4eU3HRhDEpU24-XSUg0;Aguja Desechable No. 20 x 1;150225096;Medico Quirurgico;Aguja Desechable No. 20 X 1;UNIDAD;NIPRO;https://drive.google.com/file/d/1TU7JxohxNvhaJ4eU3HRhDEpU24-XSUg0/view?usp=sharing
https://drive.google.com/uc?id=1-57s2a32DvsRSwSUCZTmrzAD8LV7Nw1J;Aguja Desechable No. 21 x 1;150220300;Medico Quirurgico;Aguja Desechable No. 21 X 1;CAJA;NIPRO;https://drive.google.com/file/d/1-57s2a32DvsRSwSUCZTmrzAD8LV7Nw1J/view?usp=sharing
https://drive.google.com/uc?id=1aAV8ra780KeWJfZA7E74cO38Grwoxum3;Aguja Desechable No. 21 x 1 1/2;150220297;Medico Quirurgico;Aguja Desechable No. 21 X 1 1/2;CAJA;NIPRO;https://drive.google.com/file/d/1aAV8ra780KeWJfZA7E74cO38Grwoxum3/view?usp=sharing
https://drive.google.com/uc?id=12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam;Aguja Desechable No. 21 x 1 1/2 Marca Nipro Uni;150220298;Medico Quirurgico;Aguja Desechable No. 21 X 1 1/2;UNIDAD;NIPRO;https://drive.google.com/file/d/12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam/view?usp=sharing
https://drive.google.com/uc?id=1TjaUyhfmAI5q4e2MJEXYnk54lVkBxqbH;Aguja Desechable No. 23 x 1;150220306;Medico Quirurgico;Aguja Desechable No. 23 X 1;UNIDAD;NIPRO;https://drive.google.com/file/d/1TjaUyhfmAI5q4e2MJEXYnk54lVkBxqbH/view?usp=sharing
https://drive.google.com/uc?id=12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam;Aguja Desechable No. 23 X 1 1/2 Marca Precision Care;150225539;Medico Quirurgico;Aguja Desechable No. 23 X 1 1/2 Marca;UNIDAD;PRECISION;https://drive.google.com/file/d/12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam/view?usp=sharing
https://drive.google.com/uc?id=1YMbzsp6QekVB5o07Dk-P-SLPZKeWUQML;Aguja Desechable No. 25 x 5/8;150220321;Medico Quirurgico;Aguja Desechable No. 25 X 5/8;UNIDAD;NIPRO;https://drive.google.com/file/d/1YMbzsp6QekVB5o07Dk-P-SLPZKeWUQML/view?usp=sharing
https://drive.google.com/uc?id=1W8o43NDgkRcjZoNBMw4RAbSMKu5py2KV;Aguja Desechable No. 26 x 1/2;150220324;Medico Quirurgico;Aguja Desechable No. 26 X 1/2;UNIDAD;NIPRO;https://drive.google.com/file/d/1W8o43NDgkRcjZoNBMw4RAbSMKu5py2KV/view?usp=sharing
https://drive.google.com/uc?id=1VOmdTVJ37X340EznOQ0Fli8_KpCnAbDG;Aguja Desechable No. 27 x 1/2;150225178;Medico Quirurgico;Aguja Desechable No. 27 X 1/2;UNIDAD;NIPRO;https://drive.google.com/file/d/1VOmdTVJ37X340EznOQ0Fli8_KpCnAbDG/view?usp=sharing
https://drive.google.com/uc?id=12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam;Aguja Desechable No. 30 X 1;150220337;Medico Quirurgico;Aguja Desechable No. 30 X 1;UNIDAD;BD;https://drive.google.com/file/d/12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam/view?usp=sharing
https://drive.google.com/uc?id=12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam;Aguja Desechable No. 30 X 1/2;150220329;Medico Quirurgico;Aguja Desechable No. 30 X 1/2;UNIDAD;PRESICION;https://drive.google.com/file/d/12gZNhLQYQTQFgXNYd6EjXbVRgRv76eam/view?usp=sharing
